Comments,PublishedAt,Author,Like_Counts,Reply_Comments
"BOYCOTT PUSHPA2 for supporting YCP candidate at Nandhyala.... My turn I am protesting on behalf of AP people (Janasena), what's your turn my dear friends...
By this BOYCOTT act AA will learn a lesson that people can damage if they think..... One advice for people, when AA not suppose to think about AP people, why we have to think and support his films my dear friends.....
Finally I can say one thing I am not anti fan of AA...I am taking this initiative for ap people well being only....",2024-05-30T19:32:02Z,@macharlapraveenkumar3095,1,0
Tofan 🎉shakib khan,2024-05-30T19:22:12Z,@binasultana9508,0,0
इस गाने से क्या सिखाने को मिला ❤❤❤❤ 1:33,2024-05-30T19:17:37Z,@KokilKumar-qu6ti,1,1
Pusupa part 2 I'm waiting for movie in theatre,2024-05-30T19:13:32Z,@afsarkhan-cb8eg,2,1
"Indian 2 second single❌
Soodaana pushpa 2 second single ✅",2024-05-30T18:46:55Z,@u1dsp588,62,1
Except heroine evening is awesome,2024-05-30T17:53:00Z,@overlayfootage4187,9,1
Repeat mode ❤,2024-05-30T17:48:48Z,@Uvraj7,2,1
Wow 🤩,2024-05-30T17:33:02Z,@sinoubritthy1780,1,1
Abhyas or practice is the key to master any skill and thank you swamiji for guiding us practically how to take steps and move forward in practice. I will remember your advice to keep taking mind again and again no matter how many times it get distracted and like you said initially we may succeed little and slowly if we keep moving little steps moving forward then we will achieve success ❤❤❤,2024-05-30T17:10:36Z,@ravishankarch8910,0,0
Tamil boy Allu arjun dance addict ❤️😉,2024-05-30T16:43:41Z,@davidbilladd9205,0,0
AA❤,2024-05-30T16:39:31Z,@user-cu1zc7cb3p,0,0
Sri lankan Fans assemble here,2024-05-30T16:34:59Z,@user-vs2yo5ls3u,0,0
Sai Baba song,2024-05-30T16:07:54Z,@sravankumarbitla1302,0,0
ALLU ARJUN FAN'S ASSEMBLE HERE💥👇♥️♥️,2024-05-30T16:07:28Z,@Short_videos_038,0,0
Dislike Button✖️,2024-05-30T16:01:03Z,@siva2107,3,0
Sottu sottu nenaiuthu tajmahal tune mathiri iruku starting 😅,2024-05-30T15:58:59Z,@jennoxavier,0,0
Tamizh song❤,2024-05-30T15:52:43Z,@stressbusters.7829,2,0
